original_relative_path,artifact_type,recovery_status,staging_path,source_session,source_ordinal,known_size,known_lines,known_sha256,verification,notes
灵敏度分析/C题汇总建模方案_Q1-Q4_20260913.md,markdown,exact-redacted,,rollout-2026-09-16T11-57-37-01a0a85c-eca1-7800-b275-5f2f8ba1bfe9.jsonl,119,17453,227,DEAF324360C9CA202821E6438AE46F67D15411927CE710034611FCD8190032DB,hash-match-before-redaction,Recovered exactly then redacted five personal absolute paths for publication
论文优化/C题汇总建模方案_Q1-Q4_20260913.md,markdown,exact-redacted,,rollout-2026-09-16T11-41-25-01a0a84e-194b-74f1-91d4-1f947776077d.jsonl,87,17453,227,DEAF324360C9CA202821E6438AE46F67D15411927CE710034611FCD8190032DB,hash-match-before-redaction,Exact duplicate with the same five publication redactions
论文优化/论文终稿_全文一致性与30页优化版_20260913.tex,tex,exact,,rollout-2026-09-16T11-57-37-01a0a85c-eca1-7800-b275-5f2f8ba1bfe9.jsonl,119,78699,1377,518AF8318680A8A40F43E6E6E3027A77303A6BB093ED2FC1071BA95420139A85,hash-match,Restored from byte-identical paper/main.tex copy
论文优化/论文终稿_全文一致性与30页优化_修复验证台账_20260913.md,markdown,exact,,rollout-2026-09-13T16-23-27-01a099a8-acab-7243-be10-3de770d6d638_01a099dd-3b2c-7411-abc9-9ca14f40269e.jsonl,2369,4178,57,2365D8D7D42A9C9975983277FFE3E6F84CDC76C4AFDC10B841C335796DD50E3E,full-write,Recovered from canonical complete here-string write
论文优化/论文Q2及之前修复验证与篇幅治理方案_20260913.md,markdown,exact,,rollout-2026-09-13T16-23-27-01a099a8-acab-7243-be10-3de770d6d638_01a099dd-3b2c-7411-abc9-9ca14f40269e.jsonl,1578,5323,75,82B4F0E62D84BD0328272C3E162AFC760930395214533EAACB28788164652B2E,full-write,Recovered from canonical complete here-string write
论文优化/附录_Q3主体代码/appendix_preamble.tex,tex,exact,,rollout-2026-09-16T11-57-37-01a0a85c-eca1-7800-b275-5f2f8ba1bfe9.jsonl,119,1155,38,7F450F0A6597D23FAA818723750521B8B65115CF0A636139385EF361079B21E4,direct-copy,Restored from publication-tree direct copy
论文优化/附录_Q3主体代码/appendix_q3_body.tex,tex,exact,,rollout-2026-09-16T11-57-37-01a0a85c-eca1-7800-b275-5f2f8ba1bfe9.jsonl,119,2898,38,E4D26F97838030C0B2D5712552A4270EEC33F85E13245150B74050966BC93172,direct-copy,Restored from publication-tree direct copy
论文优化/附录_Q3主体代码/code/*.py,python,exact,,rollout-2026-09-16T11-57-37-01a0a85c-eca1-7800-b275-5f2f8ba1bfe9.jsonl,119,,,,direct-copy,Seven files restored from direct copies under src/cumcm_case_c/q3
Q3/result3_v2.xlsx,xlsx,unrecoverable-binary,,,87,839000,,39F4C8DFC10AEAC0FD341BF6B2E3FB3115953532521E171C67B1474B378C1EA8,reference-only,Hash and historical size survive but workbook bytes do not
微网与外部电网电力调控策略__5__merge.pdf,pdf,unrecoverable-binary,,,87,4810000,,,reference-only,PDF binary was not embedded in Codex text logs
